;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;category
0;7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;5;0
1;7.8;0.88;0.0;2.6;0.098;25.0;67.0;0.9968;3.2;0.68;9.8;5;0
2;7.8;0.76;0.04;2.3;0.092;15.0;54.0;0.997;3.26;0.65;9.8;5;0
4;7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;5;0
5;7.4;0.66;0.0;1.8;0.075;13.0;40.0;0.9978;3.51;0.56;9.4;5;0
6;7.9;0.6;0.06;1.6;0.069;15.0;59.0;0.9964;3.3;0.46;9.4;5;0
7;7.3;0.65;0.0;1.2;0.065;15.0;21.0;0.9946;3.39;0.47;10.0;7;1
8;7.8;0.58;0.02;2.0;0.073;9.0;18.0;0.9968;3.36;0.57;9.5;7;1
9;7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;5;0
10;6.7;0.58;0.08;1.8;0.09699999999999999;15.0;65.0;0.9959;3.28;0.54;9.2;5;0
11;7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;5;0
12;5.6;0.615;0.0;1.6;0.08900000000000001;16.0;59.0;0.9943;3.58;0.52;9.9;5;0
13;7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9974;3.26;0.652495285983658;9.1;5;0
14;8.9;0.62;0.18;3.8;0.17600000000000002;52.0;145.0;0.9986;3.16;0.88;9.2;5;0
15;8.9;0.62;0.19;3.9;0.17;51.0;148.0;0.9986;3.17;0.93;9.2;5;0
16;8.5;0.28;0.56;1.8;0.092;35.0;103.0;0.9969;3.3;0.75;10.5;7;1
17;8.1;0.56;0.28;1.7;0.08294229549778061;16.0;56.0;0.9968;3.11;1.28;9.3;5;0
18;7.4;0.59;0.08;4.4;0.086;6.0;29.0;0.9974;3.38;0.5;9.0;4;0
21;7.6;0.39;0.31;2.3;0.08199999999999999;23.0;71.0;0.9982;3.52;0.65;9.7;5;0
22;7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;5;0
23;8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;9.4;5;0
25;6.3;0.39;0.16;1.4;0.08;11.0;23.0;0.9955;3.34;0.56;9.3;5;0
26;7.6;0.41;0.24;1.8;0.08;4.0;11.0;0.9962;3.28;0.59;9.5;5;0
27;7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;5;0
28;7.1;0.71;0.0;1.9;0.08;14.0;35.0;0.9972;3.47;0.55;9.4;5;0
30;6.7;0.675;0.07;2.4;0.08900000000000001;17.0;82.0;0.9958;3.35;0.54;10.1;5;0
32;8.3;0.655;0.12;2.3;0.083;15.0;113.0;0.9966;3.17;0.66;9.8;5;0
34;5.2;0.32;0.25;1.8;0.10300000000000001;13.0;50.0;0.9957;3.38;0.55;9.2;5;0
37;8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.9968;3.23;0.73;9.7;7;1
38;5.7;1.13;0.09;1.5;0.172;7.0;19.0;0.9940000000000001;3.5;0.48;9.8;4;0
39;7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5;5;0
40;7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5;5;0
41;8.8;0.61;0.3;2.8;0.08800000000000001;17.0;46.0;0.9976;3.26;0.51;9.3;4;0
43;8.1;0.66;0.22;2.2;0.069;9.0;23.0;0.9968;3.3;1.2;10.3;5;0
44;6.8;0.67;0.02;1.8;0.05;5.0;11.0;0.9962;3.48;0.52;9.5;5;0
45;4.6;0.52;0.15;2.1;0.054000000000000006;8.0;65.0;0.9934;3.9;0.56;13.1;4;0
46;7.7;0.935;0.43;2.2;0.114;22.0;114.0;0.997;3.25;0.73;9.2;5;0
47;8.7;0.29;0.52;1.6;0.113;12.0;37.0;0.9969;3.25;0.58;9.5;5;0
48;6.4;0.4;0.23;1.6;0.066;5.0;12.0;0.9958;3.34;0.56;9.2;5;0
49;5.6;0.31;0.37;1.4;0.07400000000000001;12.0;96.0;0.9954;3.32;0.58;9.2;5;0
50;8.8;0.66;0.26;1.7;0.07400000000000001;4.0;23.0;0.9971;3.15;0.74;9.2;5;0
53;8.6;0.38;0.36;3.0;0.081;30.0;119.0;0.997;3.2;0.56;9.4;5;0
55;7.7;0.62;0.04;3.8;0.084;25.0;45.0;0.9978;3.34;0.53;9.5;5;0
56;10.2;0.42;0.57;3.4;0.07;4.0;10.0;0.9971;3.04;0.63;9.6;5;0
57;7.5;0.63;0.12;5.1;0.111;50.0;110.0;0.9983;3.26;0.77;9.4;5;0
58;7.8;0.59;0.18;2.3;0.076;17.0;54.0;0.9975;3.43;0.59;10.0;5;0
60;8.8;0.4;0.4;2.2;0.079;19.0;52.0;0.998;3.44;0.64;9.2;5;0
61;7.7;0.69;0.49;1.8;0.115;20.0;112.0;0.9968;3.21;0.71;9.3;5;0
62;7.5;0.52;0.16;1.9;0.085;12.0;35.0;0.9968;3.38;0.62;9.5;7;1
63;7.0;0.735;0.05;2.0;0.081;13.0;54.0;0.9966;3.39;0.57;9.8;5;0
64;7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;5;0
65;7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;5;0
66;7.5;0.52;0.11;1.5;0.079;11.0;39.0;0.9968;3.42;0.58;9.6;5;0
67;6.6;0.705;0.07;1.6;0.076;6.0;15.0;0.9962;3.44;0.58;10.7;5;0
68;9.3;0.32;0.57;2.0;0.07400000000000001;27.0;65.0;0.9969;3.28;0.79;10.7;5;0
71;7.7;0.67;0.23;2.1;0.08800000000000001;17.0;96.0;0.9962;3.32;0.48;9.5;5;0
72;7.7;0.69;0.22;1.9;0.084;18.0;94.0;0.9961;3.31;0.48;9.5;5;0
73;8.3;0.675;0.26;2.1;0.084;11.0;43.0;0.9976;3.31;0.53;9.2;4;0
74;9.7;0.32;0.54;2.5;0.094;28.0;83.0;0.9984;3.28;0.82;9.6;5;0
75;8.8;0.41;0.64;2.2;0.09300000000000001;9.0;42.0;0.9986;3.54;0.66;10.5;5;0
76;8.8;0.41;0.64;2.2;0.09300000000000001;9.0;42.0;0.9986;3.54;0.66;10.5;5;0
78;6.7;0.75;0.12;2.0;0.086;12.0;80.0;0.9958;3.38;0.52;10.1;5;0
79;8.3;0.625;0.2;1.5;0.08;27.0;119.0;0.9972;3.16;1.12;9.1;4;0
80;6.2;0.45;0.2;1.6;0.069;3.0;15.0;0.9958;3.41;0.56;9.2;5;0
81;7.8;0.43;0.7;1.9;0.08294229549778061;22.0;67.0;0.9974;3.13;1.28;9.4;5;0
82;7.4;0.5;0.47;2.0;0.086;21.0;73.0;0.997;3.36;0.57;9.1;5;0
83;7.3;0.67;0.26;1.8;0.08294229549778061;16.0;51.0;0.9969;3.16;1.14;9.4;5;0
85;6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9961;3.41;0.59;10.1;5;0
87;7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5;0
88;9.3;0.39;0.44;2.1;0.107;34.0;125.0;0.9978;3.14;1.22;9.5;5;0
89;7.0;0.62;0.08;1.8;0.076;8.0;24.0;0.9978;3.48;0.53;9.0;5;0
90;7.9;0.52;0.26;1.9;0.079;42.0;140.0;0.9964;3.23;0.54;9.5;5;0
92;8.6;0.49;0.29;2.0;0.11;19.0;133.0;0.9972;2.93;0.652495285983658;9.8;5;0
93;7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5;0
94;5.0;1.02;0.04;1.4;0.045;41.0;85.0;0.9938;3.75;0.48;10.5;4;0
96;6.8;0.775;0.0;3.0;0.102;8.0;23.0;0.9965;3.45;0.56;10.7;5;0
97;7.0;0.5;0.25;2.0;0.07;3.0;22.0;0.9963;3.25;0.63;9.2;5;0
98;7.6;0.9;0.06;2.5;0.079;5.0;10.0;0.9967;3.39;0.56;9.8;5;0
103;8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;5;0
104;7.2;0.49;0.24;2.2;0.07;5.0;36.0;0.996;3.33;0.48;9.4;5;0
105;8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;5;0
106;7.8;0.41;0.68;1.7;0.08294229549778061;18.0;69.0;0.9973;3.08;1.31;9.3;5;0
107;6.2;0.63;0.31;1.7;0.08800000000000001;15.0;64.0;0.9969;3.46;0.79;9.3;5;0
109;8.1;0.785;0.52;2.0;0.122;37.0;153.0;0.9969;3.21;0.69;9.3;5;0
110;7.8;0.56;0.19;1.8;0.10400000000000001;12.0;47.0;0.9964;3.19;0.93;9.5;5;0
111;8.4;0.62;0.09;2.2;0.084;11.0;108.0;0.9964;3.15;0.66;9.8;5;0
112;8.4;0.6;0.1;2.2;0.085;14.0;111.0;0.9964;3.15;0.66;9.8;5;0
114;7.8;0.56;0.19;1.8;0.10400000000000001;12.0;47.0;0.9964;3.19;0.93;9.5;5;0
120;7.3;1.07;0.09;1.7;0.17800000000000002;10.0;89.0;0.9962;3.3;0.57;9.0;5;0
122;7.3;0.695;0.0;2.5;0.075;3.0;13.0;0.998;3.49;0.52;9.2;5;0
123;8.0;0.71;0.0;2.6;0.08;11.0;34.0;0.9976;3.44;0.53;9.5;5;0
124;7.8;0.5;0.17;1.6;0.08199999999999999;21.0;102.0;0.996;3.39;0.48;9.5;5;0
125;9.0;0.62;0.04;1.9;0.146;27.0;90.0;0.9984;3.16;0.7;9.4;5;0
126;8.2;1.33;0.0;1.7;0.081;3.0;12.0;0.9964;3.53;0.49;10.9;5;0
127;8.1;1.33;0.0;1.8;0.08199999999999999;3.0;12.0;0.9964;3.54;0.48;10.9;5;0
128;8.0;0.59;0.16;1.8;0.065;3.0;16.0;0.9962;3.42;0.92;10.5;7;1
129;6.1;0.38;0.15;1.8;0.07200000000000001;6.0;19.0;0.9955;3.42;0.57;9.4;5;0
130;8.0;0.745;0.56;2.0;0.11800000000000001;30.0;134.0;0.9968;3.24;0.66;9.4;5;0
131;5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;3.63;0.63;13.0;5;0
132;5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;3.63;0.63;13.0;5;0
135;8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.19;0.82;9.6;5;0
136;8.3;0.715;0.15;1.8;0.08900000000000001;10.0;52.0;0.9968;3.23;0.77;9.5;5;0
137;7.2;0.415;0.36;2.0;0.081;13.0;45.0;0.9972;3.48;0.64;9.2;5;0
138;7.8;0.56;0.19;2.1;0.081;15.0;105.0;0.9962;3.33;0.54;9.5;5;0
139;7.8;0.56;0.19;2.0;0.081;17.0;108.0;0.9962;3.32;0.54;9.5;5;0
140;8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.19;0.82;9.6;5;0
141;8.3;0.715;0.15;1.8;0.08900000000000001;10.0;52.0;0.9968;3.23;0.77;9.5;5;0
143;6.3;0.39;0.08;1.7;0.066;3.0;20.0;0.9954;3.34;0.58;9.4;5;0
145;8.1;0.67;0.55;1.8;0.11699999999999999;32.0;141.0;0.9968;3.17;0.62;9.4;5;0
146;5.8;0.68;0.02;1.8;0.087;21.0;94.0;0.9944;3.54;0.52;10.0;5;0
147;7.6;0.49;0.26;1.6;0.23600000000000002;10.0;88.0;0.9968;3.11;0.8;9.3;5;0
151;9.2;0.52;1.0;3.4;0.08294229549778061;32.0;69.0;0.9996;2.74;0.652495285983658;9.4;4;0
152;7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1;5;0
153;7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1;5;0
154;7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.42;0.72;10.5;5;0
155;7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5;0
156;7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.42;0.72;10.5;5;0
157;7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5;0
158;7.1;0.68;0.0;2.2;0.073;12.0;22.0;0.9969;3.48;0.5;9.3;5;0
160;7.6;0.95;0.03;2.0;0.09;7.0;20.0;0.9959;3.2;0.56;9.6;5;0
161;7.6;0.68;0.02;1.3;0.07200000000000001;9.0;20.0;0.9965;3.17;1.08;9.2;4;0
163;7.4;0.6;0.26;7.3;0.07;36.0;121.0;0.9982;3.37;0.49;9.4;5;0
164;7.3;0.59;0.26;7.2;0.07;35.0;121.0;0.9981;3.37;0.49;9.4;5;0
165;7.8;0.63;0.48;1.7;0.1;14.0;96.0;0.9961;3.19;0.62;9.5;5;0
166;6.8;0.64;0.1;2.1;0.085;18.0;101.0;0.9956;3.34;0.52;10.2;5;0
167;7.3;0.55;0.03;1.6;0.07200000000000001;17.0;42.0;0.9956;3.37;0.48;9.0;4;0
169;7.5;0.705;0.24;1.8;0.08294229549778061;15.0;63.0;0.9964;3.0;0.652495285983658;9.5;5;0
170;7.9;0.885;0.03;1.8;0.057999999999999996;4.0;8.0;0.9972;3.36;0.33;9.1;4;0
174;7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9961;3.33;0.47;9.5;5;0
175;6.9;0.5;0.04;1.5;0.085;19.0;49.0;0.9958;3.35;0.78;9.5;5;0
176;7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9961;3.33;0.47;9.5;5;0
178;7.0;0.805;0.0;2.5;0.068;7.0;20.0;0.9969;3.48;0.56;9.6;5;0
179;8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;5;0
180;8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;5;0
181;8.9;0.61;0.49;2.0;0.27;23.0;110.0;0.9972;3.12;1.02;9.3;5;0
182;7.2;0.73;0.02;2.5;0.076;16.0;42.0;0.9972;3.44;0.52;9.3;5;0
183;6.8;0.61;0.2;1.8;0.077;11.0;65.0;0.9971;3.54;0.58;9.3;5;0
185;8.9;0.31;0.57;2.0;0.111;26.0;85.0;0.9971;3.26;0.53;9.7;5;0
186;7.4;0.39;0.48;2.0;0.08199999999999999;14.0;67.0;0.9972;3.34;0.55;9.2;5;0
187;7.7;0.705;0.1;2.6;0.084;9.0;26.0;0.9976;3.39;0.49;9.7;5;0
188;7.9;0.5;0.33;2.0;0.084;15.0;143.0;0.9968;3.2;0.55;9.5;5;0
189;7.9;0.49;0.32;1.9;0.08199999999999999;17.0;144.0;0.9968;3.2;0.55;9.5;5;0
190;8.2;0.5;0.35;2.9;0.077;21.0;127.0;0.9976;3.23;0.62;9.4;5;0
192;6.8;0.63;0.12;3.8;0.099;16.0;126.0;0.9969;3.28;0.61;9.5;5;0
193;7.6;0.55;0.21;2.2;0.071;7.0;28.0;0.9964;3.28;0.55;9.7;5;0
194;7.6;0.55;0.21;2.2;0.071;7.0;28.0;0.9964;3.28;0.55;9.7;5;0
195;7.8;0.59;0.33;2.0;0.07400000000000001;24.0;120.0;0.9968;3.25;0.54;9.4;5;0
196;7.3;0.58;0.3;2.4;0.07400000000000001;15.0;55.0;0.9968;3.46;0.59;10.2;5;0
198;5.4;0.835;0.08;1.2;0.046;13.0;93.0;0.9924;3.57;0.85;13.0;7;1
199;6.9;1.09;0.06;2.1;0.061;12.0;31.0;0.9948;3.51;0.43;11.4;4;0
200;9.6;0.32;0.47;1.4;0.055999999999999994;9.0;24.0;0.99695;3.22;0.82;10.3;7;1
201;8.8;0.37;0.48;2.1;0.09699999999999999;39.0;145.0;0.9975;3.04;1.03;9.3;5;0
202;6.8;0.5;0.11;1.5;0.075;16.0;49.0;0.99545;3.36;0.79;9.5;5;0
203;7.0;0.42;0.35;1.6;0.08800000000000001;16.0;39.0;0.9961;3.34;0.55;9.2;5;0
205;12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9994;3.2;0.77;10.8;7;1
206;12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9994;3.2;0.77;10.8;7;1
207;7.8;0.57;0.31;1.8;0.069;26.0;120.0;0.99625;3.29;0.53;9.3;5;0
208;7.8;0.44;0.28;2.7;0.1;18.0;95.0;0.9966;3.22;0.67;9.4;5;0
209;11.0;0.3;0.58;2.1;0.054000000000000006;7.0;19.0;0.998;3.31;0.88;10.5;7;1
213;8.2;0.57;0.26;2.2;0.06;28.0;65.0;0.9959;3.3;0.43;10.1;5;0
215;7.0;0.49;0.49;5.6;0.06;26.0;121.0;0.9974;3.34;0.76;10.5;5;0
216;8.7;0.625;0.16;2.0;0.10099999999999999;13.0;49.0;0.9962;3.14;0.57;11.0;5;0
217;8.1;0.725;0.22;2.2;0.07200000000000001;11.0;41.0;0.9967;3.36;0.55;9.1;5;0
218;7.5;0.49;0.19;1.9;0.076;10.0;44.0;0.9957;3.39;0.54;9.7;5;0
219;7.8;0.53;0.33;2.4;0.08;24.0;144.0;0.99655;3.3;0.6;9.5;5;0
221;7.4;0.53;0.26;2.0;0.10099999999999999;16.0;72.0;0.9957;3.15;0.57;9.4;5;0
222;6.8;0.61;0.04;1.5;0.057;5.0;10.0;0.99525;3.42;0.6;9.5;5;0
224;8.4;0.635;0.36;2.0;0.08900000000000001;15.0;55.0;0.99745;3.31;0.57;10.4;4;0
227;9.0;0.82;0.14;2.6;0.08900000000000001;9.0;23.0;0.9984;3.39;0.63;9.8;5;0
229;6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.46;0.5;11.0;5;0
230;5.2;0.48;0.04;1.6;0.054000000000000006;19.0;106.0;0.9927;3.54;0.62;12.2;7;1
233;6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.46;0.5;11.0;5;0
240;8.9;0.635;0.37;1.7;0.263;5.0;62.0;0.9971;3.0;1.09;9.3;5;0
243;15.0;0.21;0.44;2.2;0.075;10.0;24.0;1.00005;3.07;0.84;9.2;7;1
244;15.0;0.21;0.44;2.2;0.075;10.0;24.0;1.00005;3.07;0.84;9.2;7;1
246;7.1;0.68;0.07;1.9;0.075;16.0;51.0;0.99685;3.38;0.52;9.5;5;0
247;8.2;0.6;0.17;2.3;0.07200000000000001;11.0;73.0;0.9963;3.2;0.45;9.3;5;0
252;11.1;0.35;0.48;3.1;0.09;5.0;21.0;0.9986;3.17;0.53;10.5;5;0
253;7.7;0.775;0.42;1.9;0.092;8.0;86.0;0.9959;3.23;0.59;9.5;5;0
255;8.0;0.57;0.23;3.2;0.073;17.0;119.0;0.99675;3.26;0.57;9.3;5;0
256;9.4;0.34;0.37;2.2;0.075;5.0;13.0;0.998;3.22;0.62;9.2;5;0
257;6.6;0.695;0.0;2.1;0.075;12.0;56.0;0.9968;3.49;0.67;9.2;5;0
258;7.7;0.41;0.76;1.8;0.08294229549778061;8.0;45.0;0.9968;3.06;1.26;9.4;5;0
259;10.0;0.31;0.47;2.6;0.085;14.0;33.0;0.99965;3.36;0.8;10.5;7;1
260;7.9;0.33;0.23;1.7;0.077;18.0;45.0;0.99625;3.29;0.65;9.3;5;0
261;7.0;0.975;0.04;2.0;0.087;12.0;67.0;0.99565;3.35;0.6;9.4;4;0
262;8.0;0.52;0.03;1.7;0.07;10.0;35.0;0.99575;3.34;0.57;10.0;5;0
263;7.9;0.37;0.23;1.8;0.077;23.0;49.0;0.9963;3.28;0.67;9.3;5;0
264;12.5;0.56;0.49;2.4;0.064;5.0;27.0;0.9999;3.08;0.87;10.9;5;0
265;11.8;0.26;0.52;1.8;0.071;6.0;10.0;0.9968;3.2;0.72;10.2;7;1
266;8.1;0.87;0.0;3.3;0.096;26.0;61.0;1.00025;3.6;0.72;9.8;4;0
267;7.9;0.35;0.46;3.6;0.078;15.0;37.0;0.9973;3.35;0.86;12.8;8;1
272;10.9;0.37;0.58;4.0;0.071;17.0;65.0;0.99935;3.22;0.78;10.1;5;0
273;8.4;0.715;0.2;2.4;0.076;10.0;38.0;0.99735;3.31;0.64;9.4;5;0
274;7.5;0.65;0.18;7.0;0.08800000000000001;27.0;94.0;0.99915;3.38;0.77;9.4;5;0
278;10.3;0.32;0.45;6.4;0.073;5.0;13.0;0.9976;3.23;0.82;12.6;8;1
279;8.9;0.4;0.32;5.6;0.087;10.0;47.0;0.9991;3.38;0.77;10.5;7;1
281;7.7;0.27;0.68;3.5;0.08294229549778061;5.0;10.0;0.9972;3.25;1.08;9.9;7;1
282;7.6;0.52;0.12;3.0;0.067;12.0;53.0;0.9971;3.36;0.57;9.1;5;0
283;8.9;0.4;0.32;5.6;0.087;10.0;47.0;0.9991;3.38;0.77;10.5;7;1
284;9.9;0.59;0.07;3.4;0.102;32.0;71.0;1.00015;3.31;0.71;9.8;5;0
285;9.9;0.59;0.07;3.4;0.102;32.0;71.0;1.00015;3.31;0.71;9.8;5;0
288;8.7;0.52;0.09;2.5;0.091;20.0;49.0;0.9976;3.34;0.86;10.6;7;1
289;11.6;0.42;0.53;3.3;0.105;33.0;98.0;1.001;3.2;0.95;9.2;5;0
290;8.7;0.52;0.09;2.5;0.091;20.0;49.0;0.9976;3.34;0.86;10.6;7;1
291;11.0;0.2;0.48;2.0;0.08294229549778061;6.0;18.0;0.9979;3.3;0.71;10.5;5;0
295;10.8;0.5;0.46;2.5;0.073;5.0;27.0;1.0001;3.05;0.64;9.5;5;0
296;10.6;0.83;0.37;2.6;0.086;26.0;70.0;0.9981;3.16;0.52;9.9;5;0
297;7.1;0.63;0.06;2.0;0.083;8.0;29.0;0.99855;3.67;0.73;9.6;5;0
298;7.2;0.65;0.02;2.3;0.094;5.0;31.0;0.9993;3.67;0.8;9.7;5;0
299;6.9;0.67;0.06;2.1;0.08;8.0;33.0;0.99845;3.68;0.71;9.6;5;0
302;8.3;0.705;0.12;2.6;0.092;12.0;28.0;0.9994;3.51;0.72;10.0;5;0
303;7.4;0.67;0.12;1.6;0.18600000000000003;5.0;21.0;0.996;3.39;0.54;9.5;5;0
304;8.4;0.65;0.6;2.1;0.11199999999999999;12.0;90.0;0.9973;3.2;0.52;9.2;5;0
306;7.6;0.62;0.32;2.2;0.08199999999999999;7.0;54.0;0.9966;3.36;0.52;9.4;5;0
313;8.6;0.47;0.3;3.0;0.076;30.0;135.0;0.9976;3.3;0.53;9.4;5;0
314;7.4;0.36;0.29;2.6;0.087;26.0;72.0;0.99645;3.39;0.68;11.0;5;0
316;9.6;0.56;0.23;3.4;0.102;37.0;92.0;0.9996;3.3;0.65;10.1;5;0
318;9.8;0.66;0.39;3.2;0.083;21.0;59.0;0.9989;3.37;0.71;11.5;7;1
320;9.8;0.66;0.39;3.2;0.083;21.0;59.0;0.9989;3.37;0.71;11.5;7;1
321;9.3;0.61;0.26;3.4;0.09;25.0;87.0;0.99975;3.24;0.62;9.7;5;0
322;7.8;0.62;0.05;2.3;0.079;6.0;18.0;0.99735;3.29;0.63;9.3;5;0
326;11.6;0.53;0.66;3.65;0.121;6.0;14.0;0.9978;3.05;0.74;11.5;7;1
327;10.3;0.44;0.5;4.5;0.107;5.0;13.0;0.998;3.28;0.83;11.5;5;0
329;10.7;0.46;0.39;2.0;0.061;7.0;15.0;0.9981;3.18;0.62;9.5;5;0
333;8.4;0.56;0.08;2.1;0.105;16.0;44.0;0.9958;3.13;0.52;11.0;5;0
334;7.9;0.65;0.01;2.5;0.078;17.0;38.0;0.9963;3.34;0.74;11.7;7;1
335;11.9;0.695;0.53;3.4;0.128;7.0;21.0;0.9992;3.17;0.84;12.2;7;1
337;7.8;0.43;0.32;2.8;0.08;29.0;58.0;0.9974;3.31;0.64;10.3;5;0
339;12.5;0.28;0.54;2.3;0.08199999999999999;12.0;29.0;0.9997;3.11;1.36;9.8;7;1
345;7.0;0.685;0.0;1.9;0.067;40.0;63.0;0.9979;3.6;0.81;9.9;5;0
346;6.6;0.815;0.02;2.7;0.07200000000000001;17.0;34.0;0.9955;3.58;0.89;12.3;7;1
352;7.7;0.665;0.0;2.4;0.09;8.0;19.0;0.9974;3.27;0.73;9.3;5;0
353;13.5;0.53;0.79;4.8;0.12;23.0;77.0;1.0018;3.18;0.77;13.0;5;0
356;11.5;0.41;0.52;3.0;0.08;29.0;55.0;1.0001;3.26;0.88;11.0;5;0
357;10.5;0.42;0.66;2.95;0.11599999999999999;12.0;29.0;0.997;3.24;0.75;11.7;7;1
358;11.9;0.43;0.66;3.1;0.109;10.0;23.0;1.0;3.15;0.85;10.4;7;1
360;8.2;0.7;0.23;2.0;0.099;14.0;81.0;0.9973;3.19;0.7;9.4;5;0
362;11.9;0.58;0.66;2.5;0.07200000000000001;6.0;37.0;0.9992;3.05;0.56;10.0;5;0
363;12.5;0.46;0.63;2.0;0.071;6.0;15.0;0.9988;2.99;0.87;10.2;5;0
364;12.8;0.615;0.66;5.8;0.083;7.0;42.0;1.0022;3.07;0.73;10.0;7;1
366;12.8;0.615;0.66;5.8;0.083;7.0;42.0;1.0022;3.07;0.73;10.0;7;1
367;10.4;0.575;0.61;2.6;0.076;11.0;24.0;1.0;3.16;0.69;9.0;5;0
368;10.3;0.34;0.52;2.8;0.159;15.0;75.0;0.9998;3.18;0.64;9.4;5;0
369;9.4;0.27;0.53;2.4;0.07400000000000001;6.0;18.0;0.9962;3.2;1.13;12.0;7;1
370;6.9;0.765;0.02;2.3;0.063;35.0;63.0;0.9975;3.57;0.78;9.9;5;0
