;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;category
781;6.5;0.46;0.14;2.4;0.114;9.0;37.0;0.9973200000000001;3.66;0.65;9.8;5;0
782;9.0;0.82;0.05;2.4;0.081;26.0;96.0;0.9981399999999999;3.36;0.53;10.0;5;0
783;6.5;0.46;0.14;2.4;0.114;9.0;37.0;0.9973200000000001;3.66;0.65;9.8;5;0
784;7.1;0.59;0.01;2.5;0.077;20.0;85.0;0.99746;3.55;0.59;9.8;5;0
785;9.9;0.35;0.41;2.3;0.083;11.0;61.0;0.9982;3.21;0.5;9.5;5;0
786;9.9;0.35;0.41;2.3;0.083;11.0;61.0;0.9982;3.21;0.5;9.5;5;0
789;8.6;0.63;0.17;2.9;0.099;21.0;119.0;0.998;3.09;0.52;9.3;5;0
791;8.8;0.64;0.17;2.9;0.084;25.0;130.0;0.99818;3.23;0.54;9.6;5;0
793;7.7;0.6;0.0;2.6;0.055;7.0;13.0;0.99639;3.38;0.56;10.8;5;0
795;10.8;0.89;0.3;2.6;0.132;7.0;60.0;0.9978600000000001;2.99;1.18;10.2;5;0
796;8.7;0.46;0.31;2.5;0.126;24.0;64.0;0.99746;3.1;0.74;9.6;5;0
797;9.3;0.37;0.44;1.6;0.038;21.0;42.0;0.99526;3.24;0.81;10.8;7;1
800;7.2;0.61;0.08;4.0;0.08199999999999999;26.0;108.0;0.99641;3.25;0.51;9.4;5;0
801;8.6;0.55;0.09;3.3;0.068;8.0;17.0;0.99735;3.23;0.44;10.0;5;0
802;5.1;0.585;0.0;1.7;0.044000000000000004;14.0;86.0;0.99264;3.56;0.94;12.9;7;1
805;8.2;0.28;0.4;2.4;0.052000000000000005;4.0;10.0;0.99356;3.33;0.7;12.8;7;1
806;8.4;0.25;0.39;2.0;0.040999999999999995;4.0;10.0;0.9938600000000001;3.27;0.71;12.5;7;1
807;8.2;0.28;0.4;2.4;0.052000000000000005;4.0;10.0;0.99356;3.33;0.7;12.8;7;1
808;7.4;0.53;0.12;1.9;0.165;4.0;12.0;0.99702;3.26;0.86;9.2;5;0
810;7.3;0.49;0.1;2.6;0.068;4.0;14.0;0.9956200000000001;3.3;0.47;10.5;5;0
812;10.8;0.45;0.33;2.5;0.099;20.0;38.0;0.99818;3.24;0.71;10.8;5;0
813;6.9;0.39;0.24;2.1;0.102;4.0;7.0;0.9946200000000001;3.44;0.58;11.4;4;0
815;10.8;0.45;0.33;2.5;0.099;20.0;38.0;0.99818;3.24;0.71;10.8;5;0
818;7.1;0.715;0.0;2.35;0.071;21.0;47.0;0.9963200000000001;3.29;0.45;9.4;5;0
819;9.1;0.66;0.15;3.2;0.09699999999999999;9.0;59.0;0.99976;3.28;0.54;9.6;5;0
820;7.0;0.685;0.0;1.9;0.099;9.0;22.0;0.9960600000000001;3.34;0.6;9.7;5;0
821;4.9;0.42;0.0;2.1;0.048;16.0;42.0;0.99154;3.71;0.74;14.0;7;1
822;6.7;0.54;0.13;2.0;0.076;15.0;36.0;0.9973;3.61;0.64;9.8;5;0
823;6.7;0.54;0.13;2.0;0.076;15.0;36.0;0.9973;3.61;0.64;9.8;5;0
824;7.1;0.48;0.28;2.8;0.068;6.0;16.0;0.99682;3.24;0.53;10.3;5;0
825;7.1;0.46;0.14;2.8;0.076;15.0;37.0;0.99624;3.36;0.49;10.7;5;0
826;7.5;0.27;0.34;2.3;0.05;4.0;8.0;0.9951;3.4;0.64;11.0;7;1
827;7.1;0.46;0.14;2.8;0.076;15.0;37.0;0.99624;3.36;0.49;10.7;5;0
828;7.8;0.57;0.09;2.3;0.065;34.0;45.0;0.9941700000000001;3.46;0.74;12.7;8;1
830;7.5;0.685;0.07;2.5;0.057999999999999996;5.0;9.0;0.9963200000000001;3.38;0.55;10.9;4;0
833;11.6;0.47;0.44;1.6;0.147;36.0;51.0;0.99836;3.38;0.86;9.9;4;0
834;8.8;0.685;0.26;1.6;0.08800000000000001;16.0;23.0;0.9969399999999999;3.32;0.47;9.4;5;0
835;7.6;0.665;0.1;1.5;0.066;27.0;55.0;0.99655;3.39;0.51;9.3;5;0
836;6.7;0.28;0.28;2.4;0.012;36.0;100.0;0.99064;3.26;0.39;11.7;7;1
837;6.7;0.28;0.28;2.4;0.012;36.0;100.0;0.99064;3.26;0.39;11.7;7;1
838;10.1;0.31;0.35;1.6;0.075;9.0;28.0;0.99672;3.24;0.83;11.2;7;1
839;6.0;0.5;0.04;2.2;0.092;13.0;26.0;0.9964700000000001;3.46;0.47;10.0;5;0
840;11.1;0.42;0.47;2.65;0.085;9.0;34.0;0.99736;3.24;0.77;12.1;7;1
841;6.6;0.66;0.0;3.0;0.115;21.0;31.0;0.99629;3.45;0.63;10.3;5;0
843;7.1;0.685;0.35;2.0;0.08800000000000001;9.0;92.0;0.9963;3.28;0.62;9.4;5;0
845;6.4;0.64;0.21;1.8;0.081;14.0;31.0;0.9968899999999999;3.59;0.66;9.8;5;0
846;6.4;0.64;0.21;1.8;0.081;14.0;31.0;0.9968899999999999;3.59;0.66;9.8;5;0
848;6.4;0.64;0.21;1.8;0.081;14.0;31.0;0.9968899999999999;3.59;0.66;9.8;5;0
849;6.4;0.63;0.21;1.6;0.08;12.0;32.0;0.9968899999999999;3.58;0.66;9.8;5;0
850;9.3;0.43;0.44;1.9;0.085;9.0;22.0;0.99708;3.28;0.55;9.5;5;0
851;9.3;0.43;0.44;1.9;0.085;9.0;22.0;0.99708;3.28;0.55;9.5;5;0
852;8.0;0.42;0.32;2.5;0.08;26.0;122.0;0.9980100000000001;3.22;1.07;9.7;5;0
855;7.6;0.735;0.02;2.5;0.071;10.0;14.0;0.9953799999999999;3.51;0.71;11.7;7;1
857;8.2;0.26;0.34;2.5;0.073;16.0;47.0;0.9959399999999999;3.4;0.78;11.3;7;1
858;11.7;0.28;0.47;1.7;0.054000000000000006;17.0;32.0;0.9968600000000001;3.15;0.67;10.6;7;1
860;7.2;0.62;0.06;2.7;0.077;15.0;85.0;0.99746;3.51;0.54;9.5;5;0
862;7.5;0.42;0.32;2.7;0.067;7.0;25.0;0.9962799999999999;3.24;0.44;10.4;5;0
863;7.2;0.62;0.06;2.5;0.078;17.0;84.0;0.99746;3.51;0.53;9.7;5;0
864;7.2;0.62;0.06;2.7;0.077;15.0;85.0;0.99746;3.51;0.54;9.5;5;0
865;7.2;0.635;0.07;2.6;0.077;16.0;86.0;0.9974799999999999;3.51;0.54;9.7;5;0
871;6.9;0.56;0.03;1.5;0.086;36.0;46.0;0.9952200000000001;3.53;0.57;10.6;5;0
872;7.3;0.35;0.24;2.0;0.067;28.0;48.0;0.9957600000000001;3.43;0.54;10.0;4;0
873;9.1;0.21;0.37;1.6;0.067;6.0;10.0;0.9955200000000001;3.23;0.58;11.1;7;1
874;10.4;0.38;0.46;2.1;0.10400000000000001;6.0;10.0;0.99664;3.12;0.65;11.8;7;1
875;8.8;0.31;0.4;2.8;0.109;7.0;16.0;0.9961399999999999;3.31;0.79;11.8;7;1
876;7.1;0.47;0.0;2.2;0.067;7.0;14.0;0.9951700000000001;3.4;0.58;10.9;4;0
879;7.2;0.6;0.04;2.5;0.076;18.0;88.0;0.99745;3.53;0.55;9.5;5;0
880;9.2;0.56;0.18;1.6;0.078;10.0;21.0;0.9957600000000001;3.15;0.49;9.9;5;0
883;7.2;0.6;0.04;2.5;0.076;18.0;88.0;0.99745;3.53;0.55;9.5;5;0
885;8.9;0.75;0.14;2.5;0.086;9.0;30.0;0.99824;3.34;0.64;10.5;5;0
887;10.7;0.52;0.38;2.6;0.066;29.0;56.0;0.99577;3.15;0.79;12.1;7;1
889;10.7;0.9;0.34;6.6;0.11199999999999999;23.0;99.0;1.00289;3.22;0.68;9.3;5;0
890;7.2;0.34;0.24;2.0;0.071;30.0;52.0;0.9957600000000001;3.44;0.58;10.1;5;0
891;7.2;0.66;0.03;2.3;0.078;16.0;86.0;0.9974299999999999;3.53;0.57;9.7;5;0
893;7.2;0.66;0.03;2.3;0.078;16.0;86.0;0.9974299999999999;3.53;0.57;9.7;5;0
896;8.3;0.31;0.39;2.4;0.078;17.0;43.0;0.99444;3.31;0.77;12.5;7;1
898;8.3;0.31;0.39;2.4;0.078;17.0;43.0;0.99444;3.31;0.77;12.5;7;1
900;8.9;0.31;0.36;2.6;0.055999999999999994;10.0;39.0;0.9956200000000001;3.4;0.69;11.8;5;0
901;7.4;0.635;0.1;2.4;0.08;16.0;33.0;0.99736;3.58;0.69;10.8;7;1
902;7.4;0.635;0.1;2.4;0.08;16.0;33.0;0.99736;3.58;0.69;10.8;7;1
903;6.8;0.59;0.06;6.0;0.06;11.0;18.0;0.9962;3.41;0.59;10.8;7;1
904;6.8;0.59;0.06;6.0;0.06;11.0;18.0;0.9962;3.41;0.59;10.8;7;1
905;9.2;0.58;0.2;3.0;0.081;15.0;115.0;0.998;3.23;0.59;9.5;5;0
906;7.2;0.54;0.27;2.6;0.084;12.0;78.0;0.9964;3.39;0.71;11.0;5;0
913;9.4;0.395;0.46;4.6;0.094;3.0;10.0;0.99639;3.27;0.64;12.2;7;1
916;5.3;0.715;0.19;1.5;0.161;7.0;62.0;0.99395;3.62;0.61;11.0;5;0
920;9.6;0.41;0.37;2.3;0.091;10.0;23.0;0.9978600000000001;3.24;0.56;10.5;5;0
924;8.6;0.47;0.27;2.3;0.055;14.0;28.0;0.99516;3.18;0.8;11.2;5;0
925;8.6;0.22;0.36;1.9;0.064;53.0;77.0;0.9960399999999999;3.47;0.87;11.0;7;1
927;8.4;0.67;0.19;2.2;0.09300000000000001;11.0;75.0;0.99736;3.2;0.59;9.2;4;0
928;8.6;0.47;0.27;2.3;0.055;14.0;28.0;0.99516;3.18;0.8;11.2;5;0
929;8.7;0.33;0.38;3.3;0.063;10.0;19.0;0.9946799999999999;3.3;0.73;12.0;7;1
930;6.6;0.61;0.01;1.9;0.08;8.0;25.0;0.99746;3.69;0.73;10.5;5;0
931;7.4;0.61;0.01;2.0;0.07400000000000001;13.0;38.0;0.9974799999999999;3.48;0.65;9.8;5;0
933;7.4;0.61;0.01;2.0;0.07400000000000001;13.0;38.0;0.9974799999999999;3.48;0.65;9.8;5;0
934;6.6;0.61;0.01;1.9;0.08;8.0;25.0;0.99746;3.69;0.73;10.5;5;0
937;12.0;0.63;0.5;1.4;0.071;6.0;26.0;0.9979100000000001;3.07;0.6;10.4;4;0
938;7.2;0.38;0.38;2.8;0.068;23.0;42.0;0.99356;3.34;0.72;12.9;7;1
939;6.2;0.46;0.17;1.6;0.073;7.0;11.0;0.99425;3.61;0.54;11.4;5;0
940;9.6;0.33;0.52;2.2;0.07400000000000001;13.0;25.0;0.9950899999999999;3.36;0.76;12.4;7;1
941;9.9;0.27;0.49;5.0;0.08199999999999999;9.0;17.0;0.99484;3.19;0.52;12.5;7;1
942;10.1;0.43;0.4;2.6;0.092;13.0;52.0;0.99834;3.22;0.64;10.0;7;1
943;9.8;0.5;0.34;2.3;0.094;10.0;45.0;0.99864;3.24;0.6;9.7;7;1
944;8.3;0.3;0.49;3.8;0.09;11.0;24.0;0.99498;3.27;0.64;12.1;7;1
945;10.2;0.44;0.42;2.0;0.071;7.0;20.0;0.99566;3.14;0.79;11.1;7;1
946;10.2;0.44;0.58;4.1;0.092;11.0;24.0;0.99745;3.29;0.99;12.0;7;1
947;8.3;0.28;0.48;2.1;0.09300000000000001;6.0;12.0;0.99408;3.26;0.62;12.4;7;1
948;8.9;0.12;0.45;1.8;0.075;10.0;21.0;0.9955200000000001;3.41;0.76;11.9;7;1
949;8.9;0.12;0.45;1.8;0.075;10.0;21.0;0.9955200000000001;3.41;0.76;11.9;7;1
950;8.9;0.12;0.45;1.8;0.075;10.0;21.0;0.9955200000000001;3.41;0.76;11.9;7;1
951;8.3;0.28;0.48;2.1;0.09300000000000001;6.0;12.0;0.99408;3.26;0.62;12.4;7;1
952;8.2;0.31;0.4;2.2;0.057999999999999996;6.0;10.0;0.99536;3.31;0.68;11.2;7;1
953;10.2;0.34;0.48;2.1;0.052000000000000005;5.0;9.0;0.9945799999999999;3.2;0.69;12.1;7;1
955;8.5;0.21;0.52;1.9;0.09;9.0;23.0;0.9964799999999999;3.36;0.67;10.4;5;0
958;6.4;0.57;0.12;2.3;0.12;25.0;36.0;0.99519;3.47;0.71;11.3;7;1
959;8.0;0.59;0.05;2.0;0.08900000000000001;12.0;32.0;0.99735;3.36;0.61;10.0;5;0
961;7.1;0.56;0.14;1.6;0.078;7.0;18.0;0.99592;3.27;0.62;9.3;5;0
962;6.6;0.57;0.02;2.1;0.115;6.0;16.0;0.99654;3.38;0.69;9.5;5;0
966;9.0;0.38;0.41;2.4;0.10300000000000001;6.0;10.0;0.9960399999999999;3.13;0.58;11.9;7;1
967;8.5;0.66;0.2;2.1;0.09699999999999999;23.0;113.0;0.9973299999999999;3.13;0.48;9.2;5;0
969;6.7;0.56;0.09;2.9;0.079;7.0;22.0;0.99669;3.46;0.61;10.2;5;0
972;10.1;0.38;0.5;2.4;0.10400000000000001;6.0;13.0;0.9964299999999999;3.22;0.65;11.6;7;1
973;8.5;0.34;0.44;1.7;0.079;6.0;12.0;0.99605;3.52;0.63;10.7;5;0
974;8.8;0.33;0.41;5.9;0.073;7.0;13.0;0.9965799999999999;3.3;0.62;12.1;7;1
975;7.2;0.41;0.3;2.1;0.083;35.0;72.0;0.997;3.44;0.52;9.4;5;0
976;7.2;0.41;0.3;2.1;0.083;35.0;72.0;0.997;3.44;0.52;9.4;5;0
977;8.4;0.59;0.29;2.6;0.109;31.0;119.0;0.9980100000000001;3.15;0.5;9.1;5;0
978;7.0;0.4;0.32;3.6;0.061;9.0;29.0;0.99416;3.28;0.49;11.3;7;1
979;12.2;0.45;0.49;1.4;0.075;3.0;6.0;0.9969;3.13;0.63;10.4;5;0
981;9.5;0.86;0.26;1.9;0.079;13.0;28.0;0.9971200000000001;3.25;0.62;10.0;5;0
984;12.2;0.45;0.49;1.4;0.075;3.0;6.0;0.9969;3.13;0.63;10.4;5;0
986;9.8;0.34;0.39;1.4;0.066;3.0;7.0;0.9947;3.19;0.55;11.4;7;1
987;7.1;0.36;0.3;1.6;0.08;35.0;70.0;0.9969299999999999;3.44;0.5;9.4;5;0
988;7.7;0.39;0.12;1.7;0.09699999999999999;19.0;27.0;0.9959600000000001;3.16;0.49;9.4;5;0
990;7.7;0.39;0.12;1.7;0.09699999999999999;19.0;27.0;0.9959600000000001;3.16;0.49;9.4;5;0
991;7.1;0.34;0.28;2.0;0.08199999999999999;31.0;68.0;0.9969399999999999;3.45;0.48;9.4;5;0
993;7.1;0.34;0.28;2.0;0.08199999999999999;31.0;68.0;0.9969399999999999;3.45;0.48;9.4;5;0
994;10.0;0.35;0.45;2.5;0.092;20.0;88.0;0.99918;3.15;0.43;9.4;5;0
996;5.6;0.66;0.0;2.2;0.087;3.0;11.0;0.9937799999999999;3.71;0.63;12.8;7;1
997;5.6;0.66;0.0;2.2;0.087;3.0;11.0;0.9937799999999999;3.71;0.63;12.8;7;1
1000;7.5;0.43;0.3;2.2;0.062;6.0;12.0;0.99495;3.44;0.72;11.5;7;1
1001;9.9;0.35;0.38;1.5;0.057999999999999996;31.0;47.0;0.9967600000000001;3.26;0.82;10.6;7;1
1002;9.1;0.29;0.33;2.05;0.063;13.0;27.0;0.99516;3.26;0.84;11.7;7;1
1003;6.8;0.36;0.32;1.8;0.067;4.0;8.0;0.9928;3.36;0.55;12.8;7;1
1004;8.2;0.43;0.29;1.6;0.081;27.0;45.0;0.99603;3.25;0.54;10.3;5;0
1005;6.8;0.36;0.32;1.8;0.067;4.0;8.0;0.9928;3.36;0.55;12.8;7;1
1006;9.1;0.29;0.33;2.05;0.063;13.0;27.0;0.99516;3.26;0.84;11.7;7;1
1007;9.1;0.3;0.34;2.0;0.064;12.0;25.0;0.99516;3.26;0.84;11.7;7;1
1008;8.9;0.35;0.4;3.6;0.11;12.0;24.0;0.99549;3.23;0.7;12.0;7;1
1009;9.6;0.5;0.36;2.8;0.11599999999999999;26.0;55.0;0.9972200000000001;3.18;0.68;10.9;5;0
1010;8.9;0.28;0.45;1.7;0.067;7.0;12.0;0.99354;3.25;0.55;12.3;7;1
1012;7.7;1.005;0.15;2.1;0.102;11.0;32.0;0.9960399999999999;3.23;0.48;10.0;5;0
1016;8.9;0.38;0.4;2.2;0.068;12.0;28.0;0.9948600000000001;3.27;0.75;12.6;7;1
1019;7.0;0.5;0.14;1.8;0.078;10.0;23.0;0.99636;3.53;0.61;10.4;5;0
1022;7.0;0.51;0.09;2.1;0.062;4.0;9.0;0.99584;3.35;0.54;10.5;5;0
1024;7.7;0.58;0.01;1.8;0.08800000000000001;12.0;18.0;0.9956799999999999;3.32;0.56;10.5;7;1
1027;6.4;0.795;0.0;2.2;0.065;28.0;52.0;0.9937799999999999;3.49;0.52;11.6;5;0
1029;7.7;0.58;0.01;1.8;0.08800000000000001;12.0;18.0;0.9956799999999999;3.32;0.56;10.5;7;1
1030;7.1;0.59;0.0;2.1;0.091;9.0;14.0;0.9948799999999999;3.42;0.55;11.5;7;1
1031;7.3;0.55;0.01;1.8;0.09300000000000001;9.0;15.0;0.9951399999999999;3.35;0.58;11.0;7;1
1032;8.1;0.82;0.0;4.1;0.095;5.0;14.0;0.99854;3.36;0.53;9.6;5;0
1035;10.1;0.37;0.34;2.4;0.085;5.0;17.0;0.9968299999999999;3.17;0.65;10.6;7;1
1036;7.6;0.31;0.34;2.5;0.08199999999999999;26.0;35.0;0.99356;3.22;0.59;12.5;7;1
1037;7.3;0.91;0.1;1.8;0.07400000000000001;20.0;56.0;0.99672;3.35;0.56;9.2;5;0
1038;8.7;0.41;0.41;6.2;0.078;25.0;42.0;0.9953;3.24;0.77;12.6;7;1
1040;7.4;0.965;0.0;2.2;0.08800000000000001;16.0;32.0;0.99756;3.58;0.67;10.2;5;0
1043;9.5;0.39;0.41;8.9;0.069;18.0;39.0;0.99859;3.29;0.81;10.9;7;1
1047;7.1;0.43;0.17;1.8;0.08199999999999999;27.0;51.0;0.99634;3.49;0.64;10.4;5;0
1050;7.1;0.43;0.17;1.8;0.08199999999999999;27.0;51.0;0.99634;3.49;0.64;10.4;5;0
1051;8.5;0.46;0.59;1.4;0.08294229549778061;16.0;45.0;0.99702;3.03;1.34;9.2;5;0
1052;5.6;0.605;0.05;2.4;0.073;19.0;25.0;0.9925799999999999;3.56;0.55;12.9;5;0
1053;8.3;0.33;0.42;2.3;0.07;9.0;20.0;0.99426;3.38;0.77;12.7;7;1
1056;8.9;0.48;0.53;4.0;0.10099999999999999;3.0;10.0;0.9958600000000001;3.21;0.59;12.1;7;1
1057;7.6;0.42;0.25;3.9;0.10400000000000001;28.0;90.0;0.99784;3.15;0.57;9.1;5;0
1058;9.9;0.53;0.57;2.4;0.09300000000000001;30.0;52.0;0.9971;3.19;0.76;11.6;7;1
1059;8.9;0.48;0.53;4.0;0.10099999999999999;3.0;10.0;0.9958600000000001;3.21;0.59;12.1;7;1
1061;9.1;0.4;0.5;1.8;0.071;7.0;16.0;0.9946200000000001;3.21;0.69;12.5;8;1
1066;6.6;0.52;0.08;2.4;0.07;13.0;26.0;0.9935799999999999;3.4;0.72;12.5;7;1
1067;11.1;0.31;0.53;2.2;0.06;3.0;10.0;0.99572;3.02;0.83;10.9;7;1
1068;11.1;0.31;0.53;2.2;0.06;3.0;10.0;0.99572;3.02;0.83;10.9;7;1
1069;8.0;0.62;0.35;2.8;0.086;28.0;52.0;0.997;3.31;0.62;10.8;5;0
1070;9.3;0.33;0.45;1.5;0.057;19.0;37.0;0.99498;3.18;0.89;11.1;7;1
1071;7.5;0.77;0.2;8.1;0.098;30.0;92.0;0.99892;3.2;0.58;9.2;5;0
1074;7.5;0.77;0.2;8.1;0.098;30.0;92.0;0.99892;3.2;0.58;9.2;5;0
1075;9.1;0.25;0.34;2.0;0.071;45.0;67.0;0.99769;3.44;0.86;10.2;7;1
1077;8.6;0.37;0.65;6.4;0.08;3.0;8.0;0.9981700000000001;3.27;0.58;11.0;5;0
1078;8.6;0.37;0.65;6.4;0.08;3.0;8.0;0.9981700000000001;3.27;0.58;11.0;5;0
1079;7.9;0.3;0.68;8.3;0.05;37.5;46.170945522855355;0.99316;3.01;0.51;12.3;7;1
1081;7.9;0.3;0.68;8.3;0.05;37.5;46.170945522855355;0.99316;3.01;0.51;12.3;7;1
1085;6.8;0.48;0.08;1.8;0.07400000000000001;40.0;64.0;0.99529;3.12;0.49;9.6;5;0
1086;8.5;0.34;0.4;4.7;0.055;3.0;9.0;0.9973799999999999;3.38;0.66;11.6;7;1
1088;11.6;0.41;0.54;1.5;0.095;22.0;41.0;0.99735;3.02;0.76;9.9;7;1
1089;11.6;0.41;0.54;1.5;0.095;22.0;41.0;0.99735;3.02;0.76;9.9;7;1
1090;10.0;0.26;0.54;1.9;0.083;42.0;74.0;0.99451;2.98;0.63;11.8;8;1
1093;9.2;0.31;0.36;2.2;0.079;11.0;31.0;0.99615;3.33;0.86;12.0;7;1
1095;9.4;0.4;0.47;2.5;0.087;6.0;20.0;0.99772;3.15;0.5;10.5;5;0
1097;8.6;0.52;0.38;1.5;0.096;5.0;18.0;0.99666;3.2;0.52;9.4;5;0
1098;8.0;0.31;0.45;2.1;0.21600000000000003;5.0;16.0;0.9935799999999999;3.15;0.81;12.5;7;1
1099;8.6;0.52;0.38;1.5;0.096;5.0;18.0;0.99666;3.2;0.52;9.4;5;0
1105;6.3;0.57;0.28;2.1;0.048;13.0;49.0;0.99374;3.41;0.6;12.8;5;0
1107;9.1;0.3;0.41;2.0;0.068;10.0;24.0;0.99523;3.27;0.85;11.7;7;1
1108;8.1;0.78;0.1;3.3;0.09;4.0;13.0;0.99855;3.36;0.49;9.5;5;0
1111;5.4;0.42;0.27;2.0;0.092;23.0;55.0;0.99471;3.78;0.64;12.3;7;1
1119;5.6;0.66;0.0;2.5;0.066;7.0;15.0;0.99256;3.52;0.58;12.9;5;0
1120;7.9;0.54;0.34;2.5;0.076;8.0;17.0;0.99235;3.2;0.72;13.1;8;1
1124;6.5;0.58;0.0;2.2;0.096;3.0;13.0;0.9955700000000001;3.62;0.62;11.5;4;0
1125;8.8;0.24;0.35;1.7;0.055;13.0;27.0;0.9939399999999999;3.14;0.59;11.3;7;1
1128;10.0;0.43;0.33;2.7;0.095;28.0;89.0;0.9984;3.22;0.68;10.0;5;0
1131;5.9;0.19;0.21;1.7;0.045;57.0;135.0;0.99341;3.32;0.44;9.5;5;0
1132;7.4;0.36;0.34;1.8;0.075;18.0;38.0;0.9933;3.38;0.88;13.6;7;1
1133;7.2;0.48;0.07;5.5;0.08900000000000001;10.0;18.0;0.99684;3.37;0.68;11.2;7;1
1134;8.5;0.28;0.35;1.7;0.061;6.0;15.0;0.99524;3.3;0.74;11.8;7;1
1138;7.5;0.41;0.15;3.7;0.10400000000000001;29.0;94.0;0.9978600000000001;3.14;0.58;9.1;5;0
1144;7.3;0.32;0.23;2.3;0.066;35.0;70.0;0.9958799999999999;3.43;0.62;10.1;5;0
1147;10.0;0.41;0.45;6.2;0.071;6.0;14.0;0.99702;3.21;0.49;11.8;7;1
1150;8.2;0.33;0.32;2.8;0.067;4.0;12.0;0.9947299999999999;3.3;0.76;12.8;7;1
1152;8.3;0.6;0.25;2.2;0.11800000000000001;9.0;38.0;0.99616;3.15;0.53;9.8;5;0
1155;8.3;0.6;0.25;2.2;0.11800000000000001;9.0;38.0;0.99616;3.15;0.53;9.8;5;0
1156;8.5;0.18;0.51;1.75;0.071;45.0;88.0;0.99524;3.33;0.76;11.8;7;1
1157;5.1;0.51;0.18;2.1;0.042;16.0;101.0;0.9924;3.46;0.87;12.9;7;1
1159;10.2;0.41;0.43;2.2;0.11;11.0;37.0;0.9972799999999999;3.16;0.67;10.8;5;0
1160;10.6;0.36;0.57;2.3;0.087;6.0;20.0;0.9967600000000001;3.14;0.72;11.1;7;1
1162;8.5;0.32;0.42;2.3;0.075;12.0;19.0;0.99434;3.14;0.71;11.8;7;1
1163;9.0;0.785;0.24;1.7;0.078;10.0;21.0;0.99692;3.29;0.67;10.0;5;0
1164;9.0;0.785;0.24;1.7;0.078;10.0;21.0;0.99692;3.29;0.67;10.0;5;0
1165;8.5;0.44;0.5;1.9;0.08294229549778061;15.0;38.0;0.99634;3.01;1.1;9.4;5;0
1166;9.9;0.54;0.26;2.0;0.111;7.0;60.0;0.9970899999999999;2.94;0.98;10.2;5;0
1167;8.2;0.33;0.39;2.5;0.07400000000000001;29.0;48.0;0.9952799999999999;3.32;0.88;12.4;7;1
1176;6.5;0.88;0.03;5.6;0.079;23.0;47.0;0.99572;3.58;0.5;11.2;4;0
1177;7.1;0.66;0.0;2.4;0.052000000000000005;6.0;11.0;0.99318;3.35;0.66;12.7;7;1
